2025-08-30 06:38:44.029000+00:00| INFO | cloud_migration | No log rows to migrate.
2025-08-30 06:38:44.030000+00:00| INFO | cloud_migration | Uploaded parquet_data/monitoring_20250830_063843.parquet to S3 at archived_data/monitoring_20250830_063843.parquet
2025-08-30 06:38:44.030000+00:00| INFO | cloud_migration | Uploaded parquet_data/proc_diagnostics_20250830_063843.parquet to S3 at archived_data/proc_diagnostics_20250830_063843.parquet
2025-08-30 06:38:44.030000+00:00| INFO | cloud_migration | Uploaded parquet_data/ws_diagnostics_20250830_063843.parquet to S3 at archived_data/ws_diagnostics_20250830_063843.parquet
2025-08-30 06:38:44.030000+00:00| INFO | cloud_migration | Uploaded parquet_data/uptime_diagnostics_20250830_063843.parquet to S3 at archived_data/uptime_diagnostics_20250830_063843.parquet
2025-08-30 06:38:44.030000+00:00| INFO | cloud_migration | Uploaded parquet_data/logs_20250830_063843.parquet to S3 at archived_data/logs_20250830_063843.parquet
2025-08-30 06:38:44.030000+00:00| INFO | cloud_migration | Uploaded parquet_data/ticks_20250830_063843.parquet to S3 at archived_data/ticks_20250830_063843.parquet
2025-08-30 06:38:44.041000+00:00| INFO | kafka.cluster | Coordinator for group/ticks_ingestor is BrokerMetadata(nodeId='coordinator-1', host='kafka', port=9092, rack=None)
2025-08-30 06:38:44.041000+00:00| INFO | kafka.coordinator | Discovered coordinator coordinator-1 for group ticks_ingestor
2025-08-30 06:38:44.042000+00:00| INFO | kafka.coordinator.heartbeat | Starting new heartbeat thread
2025-08-30 06:38:44.042000+00:00| INFO | kafka.coordinator.consumer | Revoking previously assigned partitions set() for group ticks_ingestor
2025-08-30 06:38:44.042000+00:00| INFO | kafka.coordinator | Failed to join group ticks_ingestor: NodeNotReadyError: coordinator-1
2025-08-30 06:38:44.043000+00:00| INFO | kafka.conn | <BrokerConnection client_id=kafka-python-2.2.15, node_id=coordinator-1 host=kafka:9092 <connecting> [IPv4 ('172.18.0.6', 9092)]>: connecting to kafka:9092 [('172.18.0.6', 9092) IPv4]
2025-08-30 06:38:44.043000+00:00| INFO | kafka.conn | <BrokerConnection client_id=kafka-python-2.2.15, node_id=coordinator-1 host=kafka:9092 <connected> [IPv4 ('172.18.0.6', 9092)]>: Connection complete.
2025-08-30 06:38:44.107000+00:00| INFO | websocket | Websocket connected
2025-08-30 06:38:44.108000+00:00| INFO | kafka_producer | WebSocket connected.
2025-08-30 06:38:44.108000+00:00| INFO | kafka_producer | Subscribing to BINANCE:ETHUSDT
2025-08-30 06:38:44.144000+00:00| INFO | kafka.coordinator | (Re-)joining group ticks_ingestor
2025-08-30 06:38:44.154000+00:00| INFO | kafka.coordinator | Received member id kafka-python-2.2.15-941fc01e-e219-4ff6-ad13-8a7563672801 for group ticks_ingestor; will retry join-group
2025-08-30 06:38:44.155000+00:00| INFO | kafka.coordinator | Failed to join group ticks_ingestor: [Error 79] MemberIdRequiredError
2025-08-30 06:38:44.155000+00:00| INFO | kafka.coordinator | (Re-)joining group ticks_ingestor
2025-08-30 06:38:44.930000+00:00| INFO | monitoring | Completed a monitoring cycle.
2025-08-30 06:38:45.110000+00:00| INFO | kafka.conn | <BrokerConnection client_id=kafka-python-producer-1, node_id=1 host=kafka:9092 <connecting> [IPv4 ('172.18.0.6', 9092)]>: connecting to kafka:9092 [('172.18.0.6', 9092) IPv4]
2025-08-30 06:38:45.110000+00:00| INFO | kafka.conn | <BrokerConnection client_id=kafka-python-producer-1, node_id=1 host=kafka:9092 <connected> [IPv4 ('172.18.0.6', 9092)]>: Connection complete.
2025-08-30 06:38:45.110000+00:00| INFO | kafka.conn | <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka:9092 <connected> [IPv4 ('172.18.0.6', 9092)]>: Closing connection. 
2025-08-30 06:38:47.166000+00:00| INFO | kafka.coordinator | Successfully joined group ticks_ingestor <Generation 16 (member_id: kafka-python-2.2.15-941fc01e-e219-4ff6-ad13-8a7563672801, protocol: range)>
2025-08-30 06:38:47.166000+00:00| INFO | kafka.coordinator | Elected group leader -- performing partition assignments using range
2025-08-30 06:38:47.179000+00:00| INFO | kafka.consumer.subscription_state | Updated partition assignment: [TopicPartition(topic='price_ticks', partition=0)]
2025-08-30 06:38:47.180000+00:00| INFO | kafka.coordinator.consumer | Setting newly assigned partitions {TopicPartition(topic='price_ticks', partition=0)} for group ticks_ingestor
2025-08-30 06:38:47.209000+00:00| INFO | kafka_consumer | Inserted 1 rows to ticks_db.
2025-08-30 06:38:48.978000+00:00| INFO | monitoring | Inserted ticks monitoring data for 1 messages.
2025-08-30 06:38:49.124000+00:00| INFO | kafka_consumer | Inserted 2 rows to ticks_db.
2025-08-30 06:38:49.945000+00:00| INFO | monitoring | Completed a monitoring cycle.
2025-08-30 06:38:50.128000+00:00| INFO | kafka_consumer | Inserted 2 rows to ticks_db.
2025-08-30 06:38:51.126000+00:00| INFO | kafka_consumer | Inserted 3 rows to ticks_db.
2025-08-30 06:38:52.129000+00:00| INFO | kafka_consumer | Inserted 1 rows to ticks_db.
2025-08-30 06:38:54.014000+00:00| INFO | monitoring | Inserted ticks monitoring data for 8 messages.
2025-08-30 06:38:54.130000+00:00| INFO | kafka_consumer | Inserted 1 rows to ticks_db.
2025-08-30 06:38:54.961000+00:00| INFO | monitoring | Completed a monitoring cycle.
2025-08-30 06:38:55.131000+00:00| INFO | kafka_consumer | Inserted 2 rows to ticks_db.
2025-08-30 06:38:57.133000+00:00| INFO | kafka_consumer | Inserted 1 rows to ticks_db.
2025-08-30 06:38:58.136000+00:00| INFO | kafka_consumer | Inserted 1 rows to ticks_db.
2025-08-30 06:38:59.040000+00:00| INFO | monitoring | Inserted ticks monitoring data for 5 messages.
2025-08-30 06:38:59.133000+00:00| INFO | kafka_consumer | Inserted 3 rows to ticks_db.
2025-08-30 06:38:59.976000+00:00| INFO | monitoring | Completed a monitoring cycle.
2025-08-30 06:39:00.133000+00:00| INFO | kafka_consumer | Inserted 8 rows to ticks_db.
2025-08-30 06:39:01.136000+00:00| INFO | kafka_consumer | Inserted 1 rows to ticks_db.
2025-08-30 06:39:02.158000+00:00| INFO | kafka_consumer | Inserted 2 rows to ticks_db.
2025-08-30 06:39:02.195000+00:00| INFO | kafka_consumer | Inserted 150 rows to ticks_db.
2025-08-30 06:39:03.139000+00:00| INFO | kafka_consumer | Inserted 28 rows to ticks_db.
2025-08-30 06:39:04.074000+00:00| INFO | monitoring | Inserted ticks monitoring data for 192 messages.
2025-08-30 06:39:04.138000+00:00| INFO | kafka_consumer | Inserted 4 rows to ticks_db.
2025-08-30 06:39:04.991000+00:00| INFO | monitoring | Completed a monitoring cycle.
2025-08-30 06:39:05.198000+00:00| INFO | kafka_consumer | Inserted 1 rows to ticks_db.
2025-08-30 06:39:05.209000+00:00| INFO | kafka_consumer | Inserted 150 rows to ticks_db.
2025-08-30 06:39:06.141000+00:00| INFO | kafka_consumer | Inserted 18 rows to ticks_db.
2025-08-30 06:39:07.140000+00:00| INFO | kafka_consumer | Inserted 4 rows to ticks_db.
2025-08-30 06:39:07.847000+00:00| INFO | __main__ | Received stop signal. Shutting down...
2025-08-30 06:39:07.871000+00:00| INFO | kafka_producer | Shutting down producer.
2025-08-30 06:39:07.924000+00:00| INFO | kafka_producer | WebSocket closed: code=None msg=None
2025-08-30 06:39:07.926000+00:00| INFO | kafka.producer.kafka | <KafkaProducer client_id=kafka-python-producer-1 transactional_id=None>: Closing the Kafka producer with 5 secs timeout.
2025-08-30 06:39:07.926000+00:00| INFO | kafka.conn | <BrokerConnection client_id=kafka-python-producer-1, node_id=1 host=kafka:9092 <connected> [IPv4 ('172.18.0.6', 9092)]>: Closing connection. 
2025-08-30 06:39:08.145000+00:00| INFO | kafka_consumer | Inserted final 11 rows.
2025-08-30 06:39:08.145000+00:00| INFO | kafka_consumer | Closing consumer.
2025-08-30 06:39:08.147000+00:00| INFO | kafka.coordinator.heartbeat | Stopping heartbeat thread
2025-08-30 06:39:08.147000+00:00| INFO | kafka.coordinator | Leaving consumer group (ticks_ingestor).
2025-08-30 06:39:08.155000+00:00| INFO | kafka.coordinator | LeaveGroup request for group ticks_ingestor returned successfully
2025-08-30 06:39:08.155000+00:00| INFO | kafka.conn | <BrokerConnection client_id=kafka-python-2.2.15, node_id=1 host=kafka:9092 <connected> [IPv4 ('172.18.0.6', 9092)]>: Closing connection. 
2025-08-30 06:39:08.156000+00:00| INFO | kafka.conn | <BrokerConnection client_id=kafka-python-2.2.15, node_id=coordinator-1 host=kafka:9092 <connected> [IPv4 ('172.18.0.6', 9092)]>: Closing connection. 
2025-08-30 06:39:08.156000+00:00| INFO | __main__ | System shutdown complete.
2025-08-30 06:39:26.429000+00:00| INFO | __main__ | System starting.
2025-08-30 06:39:26.429000+00:00| INFO | clickhouse | Creating ticks_db table.
2025-08-30 06:39:26.444000+00:00| INFO | clickhouse | ticks_db table created successfully.
2025-08-30 06:39:26.444000+00:00| INFO | clickhouse | Creating websocket_diagnostics table.
2025-08-30 06:39:26.454000+00:00| INFO | clickhouse | websocket_diagnostics table created successfully.
2025-08-30 06:39:26.454000+00:00| INFO | clickhouse | Creating processing_diagnostics table.
2025-08-30 06:39:26.455000+00:00| INFO | clickhouse | processing_diagnostics table created successfully.
2025-08-30 06:39:26.455000+00:00| INFO | clickhouse | Creating monitoring_db table.
2025-08-30 06:39:26.464000+00:00| INFO | clickhouse | monitoring_db table created successfully.
2025-08-30 06:39:26.464000+00:00| INFO | clickhouse | Creating uptime_db table.
2025-08-30 06:39:26.473000+00:00| INFO | clickhouse | uptime_db table created successfully.
2025-08-30 06:39:26.484000+00:00| INFO | kafka_producer | Producer thread started.
2025-08-30 06:39:26.485000+00:00| INFO | kafka_consumer | Kafka consumer started.
2025-08-30 06:39:29.496000+00:00| INFO | __main__ | Received stop signal. Shutting down...
2025-08-30 06:39:36.495000+00:00| INFO | __main__ | System shutdown complete.
2025-08-30 06:39:36.495000+00:00| INFO | kafka_producer | Shutting down producer.
2025-08-30 06:39:36.496000+00:00| INFO | kafka.producer.kafka | <KafkaProducer client_id=kafka-python-producer-1 transactional_id=None>: Closing the Kafka producer with 5 secs timeout.
2025-08-30 06:39:36.496000+00:00| INFO | kafka.conn | <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka:9092 <connected> [IPv4 ('172.18.0.5', 9092)]>: Closing connection. 
2025-08-30 06:39:36.511000+00:00| INFO | kafka.conn | <BrokerConnection client_id=kafka-python-2.2.15, node_id=bootstrap-0 host=kafka:9092 <connecting> [IPv4 ('172.18.0.5', 9092)]>: connecting to kafka:9092 [('172.18.0.5', 9092) IPv4]
2025-08-30 06:39:36.515000+00:00| INFO | kafka.conn | <BrokerConnection client_id=kafka-python-2.2.15, node_id=bootstrap-0 host=kafka:9092 <checking_api_versions_recv> [IPv4 ('172.18.0.5', 9092)]>: Broker version identified as 2.6
2025-08-30 06:39:36.515000+00:00| INFO | kafka.conn | <BrokerConnection client_id=kafka-python-2.2.15, node_id=bootstrap-0 host=kafka:9092 <connected> [IPv4 ('172.18.0.5', 9092)]>: Connection complete.
2025-08-30 06:39:36.515000+00:00| INFO | kafka.consumer.subscription_state | Updating subscribed topics to: ('price_ticks',)
2025-08-30 06:39:36.516000+00:00| INFO | kafka_consumer | Closing consumer.
2025-08-30 06:39:36.516000+00:00| INFO | kafka.conn | <BrokerConnection client_id=kafka-python-2.2.15, node_id=bootstrap-0 host=kafka:9092 <connected> [IPv4 ('172.18.0.5', 9092)]>: Closing connection. 
2025-08-30 06:41:57.246000+00:00| INFO | __main__ | System starting.
2025-08-30 06:41:57.246000+00:00| INFO | clickhouse | Creating ticks_db table.
2025-08-30 06:41:57.259000+00:00| INFO | clickhouse | ticks_db table created successfully.
2025-08-30 06:41:57.259000+00:00| INFO | clickhouse | Creating websocket_diagnostics table.
2025-08-30 06:41:57.267000+00:00| INFO | clickhouse | websocket_diagnostics table created successfully.
2025-08-30 06:41:57.267000+00:00| INFO | clickhouse | Creating processing_diagnostics table.
2025-08-30 06:41:57.268000+00:00| INFO | clickhouse | processing_diagnostics table created successfully.
2025-08-30 06:41:57.268000+00:00| INFO | clickhouse | Creating monitoring_db table.
2025-08-30 06:41:57.278000+00:00| INFO | clickhouse | monitoring_db table created successfully.
2025-08-30 06:41:57.278000+00:00| INFO | clickhouse | Creating uptime_db table.
2025-08-30 06:41:57.287000+00:00| INFO | clickhouse | uptime_db table created successfully.
2025-08-30 06:41:57.298000+00:00| INFO | kafka_producer | Producer thread started.
2025-08-30 06:41:57.298000+00:00| INFO | kafka_consumer | Kafka consumer started.
2025-08-30 06:42:02.340000+00:00| WARNING | monitoring | No messages received in the last ticks monitoring cycle.
2025-08-30 06:42:02.340000+00:00| INFO | monitoring | Inserted ticks monitoring data for 0 messages.
2025-08-30 06:42:03.342000+00:00| INFO | monitoring | Completed a monitoring cycle.
2025-08-30 06:42:07.329000+00:00| INFO | kafka.conn | <BrokerConnection client_id=kafka-python-2.2.15, node_id=bootstrap-0 host=kafka:9092 <connecting> [IPv4 ('172.18.0.6', 9092)]>: connecting to kafka:9092 [('172.18.0.6', 9092) IPv4]
2025-08-30 06:42:07.338000+00:00| INFO | kafka.conn | <BrokerConnection client_id=kafka-python-2.2.15, node_id=bootstrap-0 host=kafka:9092 <checking_api_versions_recv> [IPv4 ('172.18.0.6', 9092)]>: Broker version identified as 2.6
2025-08-30 06:42:07.338000+00:00| INFO | kafka.conn | <BrokerConnection client_id=kafka-python-2.2.15, node_id=bootstrap-0 host=kafka:9092 <connected> [IPv4 ('172.18.0.6', 9092)]>: Connection complete.
2025-08-30 06:42:07.339000+00:00| INFO | kafka.consumer.subscription_state | Updating subscribed topics to: ('price_ticks',)
2025-08-30 06:42:07.347000+00:00| INFO | kafka.conn | <BrokerConnection client_id=kafka-python-2.2.15, node_id=1 host=kafka:9092 <connecting> [IPv4 ('172.18.0.6', 9092)]>: connecting to kafka:9092 [('172.18.0.6', 9092) IPv4]
2025-08-30 06:42:07.348000+00:00| INFO | kafka.conn | <BrokerConnection client_id=kafka-python-2.2.15, node_id=1 host=kafka:9092 <connected> [IPv4 ('172.18.0.6', 9092)]>: Connection complete.
2025-08-30 06:42:07.348000+00:00| INFO | kafka.conn | <BrokerConnection client_id=kafka-python-2.2.15, node_id=bootstrap-0 host=kafka:9092 <connected> [IPv4 ('172.18.0.6', 9092)]>: Closing connection. 
2025-08-30 06:42:07.355000+00:00| INFO | cloud_migration | Written Parquet files: parquet_data/ticks.parquet and parquet_data/ticks_20250830_064207.parquet
2025-08-30 06:42:07.367000+00:00| INFO | cloud_migration | Written Parquet files: parquet_data/ws_diagnostics.parquet and parquet_data/ws_diagnostics_20250830_064207.parquet
2025-08-30 06:42:07.369000+00:00| WARNING | monitoring | No messages received in the last ticks monitoring cycle.
2025-08-30 06:42:07.369000+00:00| INFO | monitoring | Inserted ticks monitoring data for 0 messages.
2025-08-30 06:42:07.377000+00:00| INFO | cloud_migration | Written Parquet files: parquet_data/proc_diagnostics.parquet and parquet_data/proc_diagnostics_20250830_064207.parquet
2025-08-30 06:42:07.385000+00:00| INFO | cloud_migration | Written Parquet files: parquet_data/monitoring.parquet and parquet_data/monitoring_20250830_064207.parquet
2025-08-30 06:42:07.392000+00:00| INFO | cloud_migration | Written Parquet files: parquet_data/uptime_diagnostics.parquet and parquet_data/uptime_diagnostics_20250830_064207.parquet
2025-08-30 06:42:07,403 | INFO | cloud_migration | No log rows to migrate.
2025-08-30 06:42:07,403 | INFO | cloud_migration | Uploaded parquet_data/ws_diagnostics_20250830_064207.parquet to S3 at archived_data/ws_diagnostics_20250830_064207.parquet
2025-08-30 06:42:07,404 | INFO | cloud_migration | Uploaded parquet_data/ticks_20250830_064207.parquet to S3 at archived_data/ticks_20250830_064207.parquet
2025-08-30 06:42:07,404 | INFO | cloud_migration | Uploaded parquet_data/monitoring_20250830_064207.parquet to S3 at archived_data/monitoring_20250830_064207.parquet
2025-08-30 06:42:07,404 | INFO | cloud_migration | Uploaded parquet_data/uptime_diagnostics_20250830_064207.parquet to S3 at archived_data/uptime_diagnostics_20250830_064207.parquet
2025-08-30 06:42:07,404 | INFO | cloud_migration | Uploaded parquet_data/proc_diagnostics_20250830_064207.parquet to S3 at archived_data/proc_diagnostics_20250830_064207.parquet
2025-08-30 06:42:07,452 | INFO | kafka.cluster | Coordinator for group/ticks_ingestor is BrokerMetadata(nodeId='coordinator-1', host='kafka', port=9092, rack=None)
2025-08-30 06:42:07,452 | INFO | kafka.coordinator | Discovered coordinator coordinator-1 for group ticks_ingestor
2025-08-30 06:42:07,452 | INFO | kafka.coordinator.heartbeat | Starting new heartbeat thread
2025-08-30 06:42:07,453 | INFO | kafka.coordinator.consumer | Revoking previously assigned partitions set() for group ticks_ingestor
2025-08-30 06:42:07,453 | INFO | kafka.coordinator | Failed to join group ticks_ingestor: NodeNotReadyError: coordinator-1
2025-08-30 06:42:07,453 | INFO | kafka.conn | <BrokerConnection client_id=kafka-python-2.2.15, node_id=coordinator-1 host=kafka:9092 <connecting> [IPv4 ('172.18.0.6', 9092)]>: connecting to kafka:9092 [('172.18.0.6', 9092) IPv4]
2025-08-30 06:42:07,454 | INFO | kafka.conn | <BrokerConnection client_id=kafka-python-2.2.15, node_id=coordinator-1 host=kafka:9092 <connected> [IPv4 ('172.18.0.6', 9092)]>: Connection complete.
2025-08-30 06:42:07,532 | INFO | websocket | Websocket connected
2025-08-30 06:42:07,533 | INFO | kafka_producer | WebSocket connected.
2025-08-30 06:42:07,533 | INFO | kafka_producer | Subscribing to BINANCE:ETHUSDT
2025-08-30 06:42:07,554 | INFO | kafka.coordinator | (Re-)joining group ticks_ingestor
2025-08-30 06:42:07,563 | INFO | kafka.coordinator | Received member id kafka-python-2.2.15-315eccae-ff99-4fc7-b31d-5cc526167ac0 for group ticks_ingestor; will retry join-group
2025-08-30 06:42:07,563 | INFO | kafka.coordinator | Failed to join group ticks_ingestor: [Error 79] MemberIdRequiredError
2025-08-30 06:42:07,563 | INFO | kafka.coordinator | (Re-)joining group ticks_ingestor
2025-08-30 06:42:08,357 | INFO | monitoring | Completed a monitoring cycle.
2025-08-30 06:42:08,535 | INFO | kafka.conn | <BrokerConnection client_id=kafka-python-producer-1, node_id=1 host=kafka:9092 <connecting> [IPv4 ('172.18.0.6', 9092)]>: connecting to kafka:9092 [('172.18.0.6', 9092) IPv4]
2025-08-30 06:42:08,536 | INFO | kafka.conn | <BrokerConnection client_id=kafka-python-producer-1, node_id=1 host=kafka:9092 <connected> [IPv4 ('172.18.0.6', 9092)]>: Connection complete.
2025-08-30 06:42:08,536 | INFO | kafka.conn | <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=kafka:9092 <connected> [IPv4 ('172.18.0.6', 9092)]>: Closing connection. 
2025-08-30 06:42:10,575 | INFO | kafka.coordinator | Successfully joined group ticks_ingestor <Generation 18 (member_id: kafka-python-2.2.15-315eccae-ff99-4fc7-b31d-5cc526167ac0, protocol: range)>
2025-08-30 06:42:10,575 | INFO | kafka.coordinator | Elected group leader -- performing partition assignments using range
2025-08-30 06:42:10,593 | INFO | kafka.consumer.subscription_state | Updated partition assignment: [TopicPartition(topic='price_ticks', partition=0)]
2025-08-30 06:42:10,593 | INFO | kafka.coordinator.consumer | Setting newly assigned partitions {TopicPartition(topic='price_ticks', partition=0)} for group ticks_ingestor
2025-08-30 06:42:10,645 | INFO | kafka_consumer | Inserted 1 rows to ticks_db.
2025-08-30 06:42:10,651 | INFO | kafka_consumer | Inserted 150 rows to ticks_db.
2025-08-30 06:42:11,616 | INFO | kafka_consumer | Inserted 92 rows to ticks_db.
2025-08-30 06:42:11,632 | INFO | kafka_consumer | Inserted 150 rows to ticks_db.
2025-08-30 06:42:11,736 | INFO | __main__ | Received stop signal. Shutting down...
2025-08-30 06:42:11,815 | INFO | kafka_producer | Shutting down producer.
2025-08-30 06:42:11,869 | INFO | kafka_producer | WebSocket closed: code=None msg=None
2025-08-30 06:42:11,870 | INFO | kafka.producer.kafka | <KafkaProducer client_id=kafka-python-producer-1 transactional_id=None>: Closing the Kafka producer with 5 secs timeout.
2025-08-30 06:42:11,871 | INFO | kafka.conn | <BrokerConnection client_id=kafka-python-producer-1, node_id=1 host=kafka:9092 <connected> [IPv4 ('172.18.0.6', 9092)]>: Closing connection. 
2025-08-30 06:42:12,137 | INFO | kafka_consumer | Inserted final 114 rows.
2025-08-30 06:42:12,137 | INFO | kafka_consumer | Closing consumer.
2025-08-30 06:42:12,150 | INFO | kafka.coordinator.heartbeat | Stopping heartbeat thread
2025-08-30 06:42:12,150 | INFO | kafka.coordinator | Leaving consumer group (ticks_ingestor).
2025-08-30 06:42:12,157 | INFO | kafka.coordinator | LeaveGroup request for group ticks_ingestor returned successfully
2025-08-30 06:42:12,157 | INFO | kafka.conn | <BrokerConnection client_id=kafka-python-2.2.15, node_id=1 host=kafka:9092 <connected> [IPv4 ('172.18.0.6', 9092)]>: Closing connection. 
2025-08-30 06:42:12,157 | INFO | kafka.conn | <BrokerConnection client_id=kafka-python-2.2.15, node_id=coordinator-1 host=kafka:9092 <connected> [IPv4 ('172.18.0.6', 9092)]>: Closing connection. 
2025-08-30 06:42:12,317 | INFO | __main__ | System shutdown complete.
